1, 155190, 7706, 1, 17, 21168.23, 0.04, 0.02, N, O, 1996-03-13, 1996-02-12, 1996-03-22, DELIVER IN PERSON, TRUCK, egular courts above the
37, 12903, 5405, 3, 43, 78083.70, 0.05, 0.08, A, F, 1992-07-10, 1992-07-06, 1992-08-02, DELIVER IN PERSON, TRUCK, iously ste
38, 175839, 874, 1, 44, 84252.52, 0.04, 0.02, N, O, 1996-09-29, 1996-11-17, 1996-09-30, COLLECT COD, MAIL, s. blithely unusual theodolites am
39, 2320, 9821, 1, 44, 53782.08, 0.09, 0.06, N, O, 1996-11-14, 1996-12-15, 1996-12-12, COLLECT COD, RAIL, eodolites. careful
39, 186582, 4137, 2, 26, 43383.08, 0.08, 0.04, N, O, 1996-11-04, 1996-10-20, 1996-11-20, NONE, FOB, ckages across the slyly silent
39, 67831, 5350, 3, 46, 82746.18, 0.06, 0.08, N, O, 1996-09-26, 1996-12-19, 1996-10-26, DELIVER IN PERSON, AIR, he carefully e
39, 20590, 3093, 4, 32, 48338.88, 0.07, 0.05, N, O, 1996-10-02, 1996-12-19, 1996-10-14, COLLECT COD, MAIL, heodolites sleep silently pending foxes. ac
39, 54519, 9530, 5, 43, 63360.93, 0.01, 0.01, N, O, 1996-10-17, 1996-11-14, 1996-10-26, COLLECT COD, MAIL, yly regular i
39, 94368, 6878, 6, 40, 54494.40, 0.06, 0.05, N, O, 1996-12-08, 1996-10-22, 1997-01-01, COLLECT COD, AIR, quickly ironic fox
64, 85951, 5952, 1, 21, 40675.95, 0.05, 0.02, R, F, 1994-09-30, 1994-09-18, 1994-10-26, DELIVER IN PERSON, REG AIR, ch slyly final thin platelets.
65, 59694, 4705, 1, 26, 42995.94, 0.03, 0.03, A, F, 1995-04-20, 1995-04-25, 1995-05-13, NONE, TRUCK, pending deposits nag even packages. ca
65, 73815, 8830, 2, 22, 39353.82, 0.00, 0.05, N, O, 1995-07-17, 1995-06-04, 1995-07-19, COLLECT COD, FOB,  ideas. special r
65, 1388, 3889, 3, 21, 27076.98, 0.09, 0.07, N, O, 1995-07-06, 1995-05-14, 1995-07-31, DELIVER IN PERSON, RAIL, bove the even packages. accounts nag carefu
66, 115118, 7630, 1, 31, 35126.41, 0.00, 0.08, R, F, 1994-02-19, 1994-03-11, 1994-02-20, TAKE BACK RETURN, RAIL, ut the unusual accounts sleep at the bo
66, 173489, 3490, 2, 41, 64061.68, 0.04, 0.07, A, F, 1994-02-21, 1994-03-01, 1994-03-18, COLLECT COD, AIR,  regular de
67, 21636, 9143, 1, 4, 6230.52, 0.09, 0.04, N, O, 1997-04-17, 1997-01-31, 1997-04-20, NONE, SHIP,  cajole thinly expres
67, 20193, 5198, 2, 12, 13358.28, 0.09, 0.05, N, O, 1997-01-27, 1997-02-21, 1997-02-22, NONE, REG AIR,  even packages cajole
67, 173600, 6118, 3, 5, 8368.00, 0.03, 0.07, N, O, 1997-02-20, 1997-02-12, 1997-02-21, DELIVER IN PERSON, TRUCK, y unusual packages thrash pinto 
67, 87514, 7515, 4, 44, 66066.44, 0.08, 0.06, N, O, 1997-03-18, 1997-01-29, 1997-04-13, DELIVER IN PERSON, RAIL, se quickly above the even express reques
67, 40613, 8126, 5, 23, 35733.03, 0.05, 0.07, N, O, 1997-04-19, 1997-02-14, 1997-05-06, DELIVER IN PERSON, REG AIR, ly regular deposit
67, 178306, 824, 6, 29, 40144.70, 0.02, 0.05, N, O, 1997-01-25, 1997-01-27, 1997-01-27, DELIVER IN PERSON, FOB, ultipliers 
68, 7068, 9569, 1, 3, 2925.18, 0.05, 0.02, N, O, 1998-07-04, 1998-06-05, 1998-07-21, NONE, RAIL, fully special instructions cajole. furious
68, 175180, 2732, 2, 46, 57738.28, 0.02, 0.05, N, O, 1998-06-26, 1998-06-07, 1998-07-05, NONE, MAIL,  requests are unusual regular pinto 
68, 34980, 7484, 3, 46, 88089.08, 0.04, 0.05, N, O, 1998-08-13, 1998-07-08, 1998-08-29, NONE, RAIL, egular dependencies affix ironically along 
68, 94728, 2256, 4, 20, 34454.40, 0.07, 0.01, N, O, 1998-06-27, 1998-05-23, 1998-07-02, NONE, REG AIR,  excuses integrate fluffily 
68, 82758, 5267, 5, 27, 47000.25, 0.03, 0.06, N, O, 1998-06-19, 1998-06-25, 1998-06-29, DELIVER IN PERSON, SHIP, ccounts. deposits use. furiously
68, 102561, 5072, 6, 30, 46906.80, 0.05, 0.06, N, O, 1998-08-11, 1998-07-11, 1998-08-14, NONE, RAIL, oxes are slyly blithely fin
68, 139247, 1761, 7, 41, 52735.84, 0.09, 0.08, N, O, 1998-06-24, 1998-06-27, 1998-07-06, NONE, SHIP, eposits nag special ideas. furiousl
69, 115209, 7721, 1, 48, 58761.60, 0.01, 0.07, A, F, 1994-08-17, 1994-08-11, 1994-09-08, NONE, TRUCK, regular epitaphs. carefully even ideas hag
69, 104180, 9201, 2, 32, 37893.76, 0.08, 0.06, A, F, 1994-08-24, 1994-08-17, 1994-08-31, NONE, REG AIR, s sleep carefully bold 
69, 137267, 4807, 3, 17, 22172.42, 0.09, 0.00, A, F, 1994-07-02, 1994-07-07, 1994-07-03, TAKE BACK RETURN, AIR, final pending instr
69, 37502, 2509, 4, 3, 4318.50, 0.09, 0.04, R, F, 1994-06-06, 1994-07-27, 1994-06-15, NONE, MAIL,  blithely final d
69, 92070, 7089, 5, 42, 44606.94, 0.07, 0.04, R, F, 1994-07-31, 1994-07-26, 1994-08-28, DELIVER IN PERSON, REG AIR, tect regular speci
69, 18504, 1006, 6, 23, 32717.50, 0.05, 0.00, A, F, 1994-10-03, 1994-08-06, 1994-10-24, NONE, SHIP, nding accounts ca
70, 64128, 9141, 1, 8, 8736.96, 0.03, 0.08, R, F, 1994-01-12, 1994-02-27, 1994-01-14, TAKE BACK RETURN, FOB, ggle. carefully pending dependenc
70, 196156, 1195, 2, 13, 16277.95, 0.06, 0.06, A, F, 1994-03-03, 1994-02-13, 1994-03-26, COLLECT COD, AIR, lyly special packag
70, 179809, 7361, 3, 1, 1888.80, 0.03, 0.05, R, F, 1994-01-26, 1994-03-05, 1994-01-28, TAKE BACK RETURN, RAIL, quickly. fluffily unusual theodolites c
70, 45734, 743, 4, 11, 18477.03, 0.01, 0.05, A, F, 1994-03-17, 1994-03-17, 1994-03-27, NONE, MAIL, alongside of the deposits. fur
70, 37131, 2138, 5, 37, 39520.81, 0.09, 0.04, R, F, 1994-02-13, 1994-03-16, 1994-02-21, COLLECT COD, MAIL, n accounts are. q
70, 55655, 3171, 6, 19, 30602.35, 0.06, 0.03, A, F, 1994-01-26, 1994-02-17, 1994-02-06, TAKE BACK RETURN, SHIP,  packages wake pending accounts.
71, 61931, 1932, 1, 25, 47323.25, 0.09, 0.07, N, O, 1998-04-10, 1998-04-22, 1998-04-11, COLLECT COD, FOB, ckly. slyly
71, 65916, 3435, 2, 3, 5645.73, 0.09, 0.07, N, O, 1998-05-23, 1998-04-03, 1998-06-02, COLLECT COD, SHIP, y. pinto beans haggle after the
71, 34432, 1942, 3, 45, 61489.35, 0.00, 0.07, N, O, 1998-02-23, 1998-03-20, 1998-03-24, DELIVER IN PERSON, SHIP,  ironic packages believe blithely a
71, 96645, 9155, 4, 33, 54174.12, 0.00, 0.01, N, O, 1998-04-12, 1998-03-20, 1998-04-15, NONE, FOB,  serve quickly fluffily bold deposi
71, 103255, 5766, 5, 39, 49071.75, 0.08, 0.06, N, O, 1998-01-29, 1998-04-07, 1998-02-18, DELIVER IN PERSON, RAIL, l accounts sleep across the pack
71, 195635, 674, 6, 34, 58841.42, 0.04, 0.01, N, O, 1998-03-05, 1998-04-22, 1998-03-30, DELIVER IN PERSON, TRUCK, s cajole. 
96, 123076, 613, 1, 23, 25278.61, 0.10, 0.06, A, F, 1994-07-19, 1994-06-29, 1994-07-25, DELIVER IN PERSON, TRUCK, ep-- carefully reg
96, 135390, 5391, 2, 30, 42761.70, 0.01, 0.06, R, F, 1994-06-03, 1994-05-29, 1994-06-22, DELIVER IN PERSON, TRUCK, e quickly even ideas. furiou
97, 119477, 1989, 1, 13, 19454.11, 0.00, 0.02, R, F, 1993-04-01, 1993-04-04, 1993-04-08, NONE, TRUCK, ayers cajole against the furiously
97, 49568, 2073, 2, 37, 56149.72, 0.02, 0.06, A, F, 1993-04-13, 1993-03-30, 1993-04-14, DELIVER IN PERSON, SHIP, ic requests boost carefully quic
97, 77699, 5221, 3, 19, 31857.11, 0.06, 0.08, R, F, 1993-05-14, 1993-03-05, 1993-05-25, TAKE BACK RETURN, RAIL, gifts. furiously ironic packages cajole. 
98, 40216, 217, 1, 28, 32373.88, 0.06, 0.07, A, F, 1994-12-24, 1994-10-25, 1995-01-16, COLLECT COD, REG AIR,  pending regular accounts s
98, 109743, 7274, 2, 1, 1752.74, 0.00, 0.00, A, F, 1994-12-01, 1994-12-12, 1994-12-15, DELIVER IN PERSON, TRUCK, . unusual instructions against
98, 44706, 4707, 3, 14, 23109.80, 0.05, 0.02, A, F, 1994-12-30, 1994-11-22, 1995-01-27, COLLECT COD, AIR,  cajole furiously. blithely ironic ideas 
98, 167180, 7181, 4, 10, 12471.80, 0.03, 0.03, A, F, 1994-10-23, 1994-11-08, 1994-11-09, COLLECT COD, RAIL,  carefully. quickly ironic ideas
99, 87114, 4639, 1, 10, 11011.10, 0.02, 0.01, A, F, 1994-05-18, 1994-06-03, 1994-05-23, COLLECT COD, RAIL, kages. requ
99, 123766, 3767, 2, 5, 8948.80, 0.02, 0.07, R, F, 1994-05-06, 1994-05-28, 1994-05-20, TAKE BACK RETURN, RAIL, ests cajole fluffily waters. blithe
99, 134082, 1622, 3, 42, 46875.36, 0.02, 0.02, A, F, 1994-04-19, 1994-05-18, 1994-04-20, NONE, RAIL, kages are fluffily furiously ir
99, 108338, 849, 4, 36, 48467.88, 0.09, 0.02, A, F, 1994-07-04, 1994-04-17, 1994-07-30, DELIVER IN PERSON, AIR, slyly. slyly e
100, 62029, 2030, 1, 28, 27748.56, 0.04, 0.05, N, O, 1998-05-08, 1998-05-13, 1998-06-07, COLLECT COD, TRUCK, sts haggle. slowl
100, 115979, 8491, 2, 22, 43889.34, 0.00, 0.07, N, O, 1998-06-24, 1998-04-12, 1998-06-29, DELIVER IN PERSON, SHIP, nto beans alongside of the fi
100, 46150, 8655, 3, 46, 50422.90, 0.03, 0.04, N, O, 1998-05-02, 1998-04-10, 1998-05-22, TAKE BACK RETURN, SHIP, ular accounts. even
100, 38024, 3031, 4, 14, 13468.28, 0.06, 0.03, N, O, 1998-05-22, 1998-05-01, 1998-06-03, COLLECT COD, MAIL, y. furiously ironic ideas gr
100, 53439, 955, 5, 37, 51519.91, 0.05, 0.00, N, O, 1998-03-06, 1998-04-16, 1998-03-31, TAKE BACK RETURN, TRUCK, nd the quickly s
101, 118282, 5816, 1, 49, 63713.72, 0.10, 0.00, N, O, 1996-06-21, 1996-05-27, 1996-06-29, DELIVER IN PERSON, REG AIR, ts-- final packages sleep furiousl
101, 163334, 883, 2, 36, 50303.88, 0.00, 0.01, N, O, 1996-05-19, 1996-05-01, 1996-06-04, DELIVER IN PERSON, AIR, tes. blithely pending dolphins x-ray f
101, 138418, 5958, 3, 12, 17476.92, 0.06, 0.02, N, O, 1996-03-29, 1996-04-20, 1996-04-12, COLLECT COD, MAIL, . quickly regular
102, 88914, 3931, 1, 37, 70407.67, 0.06, 0.00, N, O, 1997-07-24, 1997-08-02, 1997-08-07, TAKE BACK RETURN, SHIP, ully across the ideas. final deposit
102, 169238, 6787, 2, 34, 44445.82, 0.03, 0.08, N, O, 1997-08-09, 1997-07-28, 1997-08-26, TAKE BACK RETURN, SHIP, eposits cajole across
102, 182321, 4840, 3, 25, 35083.00, 0.01, 0.01, N, O, 1997-07-31, 1997-07-24, 1997-08-17, NONE, RAIL, bits. ironic accoun
102, 61158, 8677, 4, 15, 16787.25, 0.07, 0.07, N, O, 1997-06-02, 1997-07-13, 1997-06-04, DELIVER IN PERSON, SHIP, final packages. carefully even excu
103, 194658, 2216, 1, 6, 10515.90, 0.03, 0.05, N, O, 1996-10-11, 1996-07-25, 1996-10-28, NONE, FOB, cajole. carefully ex
103, 10426, 2928, 2, 37, 49447.54, 0.02, 0.07, N, O, 1996-09-17, 1996-07-27, 1996-09-20, TAKE BACK RETURN, MAIL, ies. quickly ironic requests use blithely
103, 28431, 8432, 3, 23, 31266.89, 0.01, 0.04, N, O, 1996-09-11, 1996-09-18, 1996-09-26, NONE, FOB, ironic accou
103, 29022, 4027, 4, 32, 30432.64, 0.01, 0.07, N, O, 1996-07-30, 1996-08-06, 1996-08-04, NONE, RAIL, kages doze. special regular deposit
128, 106828, 9339, 1, 38, 69723.16, 0.06, 0.01, A, F, 1992-09-01, 1992-08-27, 1992-10-01, TAKE BACK RETURN, FOB,  cajole careful
129, 2867, 5368, 1, 46, 81413.56, 0.08, 0.02, R, F, 1993-02-15, 1993-01-24, 1993-03-05, COLLECT COD, TRUCK, uietly bold theodolites. fluffil
129, 185164, 5165, 2, 36, 44969.76, 0.01, 0.02, A, F, 1992-11-25, 1992-12-25, 1992-12-09, TAKE BACK RETURN, REG AIR, packages are care
129, 39444, 1948, 3, 33, 45653.52, 0.04, 0.06, A, F, 1993-01-08, 1993-02-14, 1993-01-29, COLLECT COD, SHIP, sts nag bravely. fluffily
129, 135137, 164, 4, 34, 39852.42, 0.00, 0.01, R, F, 1993-01-29, 1993-02-14, 1993-02-10, COLLECT COD, MAIL, quests. express ideas
129, 31373, 8883, 5, 24, 31304.88, 0.06, 0.00, A, F, 1992-12-07, 1993-01-02, 1992-12-11, TAKE BACK RETURN, FOB, uests. foxes cajole slyly after the ca
129, 77050, 4572, 6, 22, 22595.10, 0.06, 0.01, R, F, 1993-02-15, 1993-01-31, 1993-02-24, COLLECT COD, SHIP, e. fluffily regular 
129, 168569, 3602, 7, 1, 1637.56, 0.05, 0.04, R, F, 1993-01-26, 1993-01-08, 1993-02-24, DELIVER IN PERSON, FOB, e carefully blithely bold dolp
130, 128816, 8817, 1, 14, 25827.34, 0.08, 0.05, A, F, 1992-08-15, 1992-07-25, 1992-09-13, COLLECT COD, RAIL,  requests. final instruction
130, 1739, 4240, 2, 48, 78755.04, 0.03, 0.02, R, F, 1992-07-01, 1992-07-12, 1992-07-24, NONE, AIR, lithely alongside of the regu
130, 11860, 1861, 3, 18, 31893.48, 0.04, 0.08, A, F, 1992-07-04, 1992-06-14, 1992-07-29, DELIVER IN PERSON, MAIL,  slyly ironic decoys abou
130, 115635, 3169, 4, 13, 21458.19, 0.09, 0.02, R, F, 1992-06-26, 1992-07-29, 1992-07-05, NONE, FOB,  pending dolphins sleep furious
130, 69130, 4143, 5, 31, 34073.03, 0.06, 0.05, R, F, 1992-09-01, 1992-07-18, 1992-09-02, TAKE BACK RETURN, RAIL, thily about the ruth
131, 167505, 22, 1, 45, 70762.50, 0.10, 0.02, R, F, 1994-09-14, 1994-09-02, 1994-10-04, NONE, FOB, ironic bold accounts. careful
131, 44255, 9264, 2, 50, 59962.50, 0.02, 0.04, A, F, 1994-09-17, 1994-08-10, 1994-09-21, NONE, SHIP, ending requests. final ironic pearls slee
131, 189021, 1540, 3, 4, 4440.08, 0.04, 0.03, A, F, 1994-09-20, 1994-08-30, 1994-09-23, COLLECT COD, REG AIR,  are carefully slyly i
132, 140449, 2964, 1, 18, 26809.92, 0.00, 0.08, R, F, 1993-07-10, 1993-08-05, 1993-07-13, NONE, TRUCK, ges. platelets wake furio
132, 119053, 9054, 2, 43, 46098.15, 0.01, 0.08, R, F, 1993-09-01, 1993-08-16, 1993-09-22, NONE, TRUCK, y pending theodolites
132, 114419, 4420, 3, 32, 45869.12, 0.04, 0.04, A, F, 1993-07-12, 1993-08-05, 1993-08-05, COLLECT COD, TRUCK, d instructions hagg
132, 28082, 5589, 4, 23, 23231.84, 0.10, 0.00, A, F, 1993-06-16, 1993-08-27, 1993-06-23, DELIVER IN PERSON, AIR, refully blithely bold acco
133, 103432, 5943, 1, 27, 38756.61, 0.00, 0.02, N, O, 1997-12-21, 1998-02-23, 1997-12-27, TAKE BACK RETURN, MAIL, yly even gifts after the sl
133, 176279, 3831, 2, 12, 16263.24, 0.02, 0.06, N, O, 1997-12-02, 1998-01-15, 1997-12-29, DELIVER IN PERSON, REG AIR, ts cajole fluffily quickly i
133, 117350, 4884, 3, 29, 39653.15, 0.09, 0.08, N, O, 1998-02-28, 1998-01-30, 1998-03-09, DELIVER IN PERSON, RAIL,  the carefully regular theodoli
133, 89855, 7380, 4, 11, 20293.35, 0.06, 0.01, N, O, 1998-03-21, 1998-01-15, 1998-04-04, DELIVER IN PERSON, REG AIR, e quickly across the dolphins
134, 641, 642, 1, 21, 32374.44, 0.00, 0.03, A, F, 1992-07-17, 1992-07-08, 1992-07-26, COLLECT COD, SHIP, s. quickly regular
134, 164645, 9678, 2, 35, 59837.40, 0.06, 0.07, A, F, 1992-08-23, 1992-06-01, 1992-08-24, NONE, MAIL, ajole furiously. instructio
134, 188252, 3289, 3, 26, 34846.50, 0.09, 0.06, A, F, 1992-06-20, 1992-07-12, 1992-07-16, NONE, RAIL,  among the pending depos
134, 144002, 4003, 4, 47, 49162.00, 0.05, 0.00, A, F, 1992-08-16, 1992-07-06, 1992-08-28, NONE, REG AIR, s! carefully unusual requests boost careful
134, 35172, 5173, 5, 12, 13286.04, 0.05, 0.02, A, F, 1992-07-03, 1992-06-01, 1992-07-11, COLLECT COD, TRUCK, nts are quic
134, 133103, 5617, 6, 12, 13633.20, 0.00, 0.00, A, F, 1992-08-08, 1992-07-07, 1992-08-20, TAKE BACK RETURN, FOB, lyly regular pac
135, 108205, 8206, 1, 47, 57020.40, 0.06, 0.08, N, O, 1996-02-18, 1996-01-01, 1996-02-25, COLLECT COD, RAIL, ctions wake slyly abo
135, 198344, 5902, 2, 21, 30289.14, 0.00, 0.07, N, O, 1996-02-11, 1996-01-12, 1996-02-13, DELIVER IN PERSON, SHIP,  deposits believe. furiously regular p
135, 157510, 5056, 3, 33, 51727.83, 0.02, 0.00, N, O, 1996-01-03, 1995-11-21, 1996-02-01, TAKE BACK RETURN, MAIL, ptotes boost slowly care
135, 67005, 9512, 4, 34, 33048.00, 0.02, 0.03, N, O, 1996-01-12, 1996-01-19, 1996-02-05, NONE, TRUCK, counts doze against the blithely ironi
135, 136248, 1275, 5, 20, 25684.80, 0.01, 0.04, N, O, 1996-01-25, 1995-11-20, 1996-02-09, NONE, MAIL, theodolites. quickly p
135, 115000, 2534, 6, 13, 13195.00, 0.04, 0.02, N, O, 1995-11-12, 1995-12-22, 1995-11-17, NONE, FOB, nal ideas. final instr
160, 14785, 9788, 1, 36, 61192.08, 0.07, 0.01, N, O, 1997-03-11, 1997-03-11, 1997-03-20, COLLECT COD, MAIL, old ironic deposits are quickly abov
160, 86382, 8891, 2, 22, 30104.36, 0.00, 0.04, N, O, 1997-02-18, 1997-03-05, 1997-03-05, COLLECT COD, RAIL, ncies about the request
160, 20080, 5085, 3, 34, 34002.72, 0.01, 0.05, N, O, 1997-01-31, 1997-03-13, 1997-02-14, NONE, FOB, st sleep even gifts. dependencies along
161, 102810, 341, 1, 19, 34443.39, 0.01, 0.01, A, F, 1994-12-13, 1994-11-19, 1994-12-26, DELIVER IN PERSON, TRUCK,  regular sheaves sleep along
162, 189288, 4325, 1, 2, 2754.56, 0.02, 0.01, N, O, 1995-09-02, 1995-06-17, 1995-09-08, COLLECT COD, FOB, es! final somas integrate
163, 167545, 5094, 1, 43, 69339.22, 0.01, 0.00, N, O, 1997-09-19, 1997-11-19, 1997-10-03, COLLECT COD, REG AIR, al bold dependencies wake. iron
163, 120702, 703, 2, 13, 22395.10, 0.01, 0.04, N, O, 1997-11-11, 1997-10-18, 1997-12-07, DELIVER IN PERSON, TRUCK, inal requests. even pinto beans hag
